Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Only male adults in the household;2014;24.299999;0.2;111;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Only female adults in the household;2014;45;0.30000001;435;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Male and female adults in the household;2014;31.299999;0.25;2559;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 1;2014;36.099998;0.28;728;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 2;2014;34.900002;0.25;644;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 3;2014;30.5;0.23999999;599;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 4;2014;30.4;0.25;641;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 5;2014;30.200001;0.25;498;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Small holder farms;2014;40.299999;0.28999999;2282;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Non-small holder farms;2014;26.299999;0.20999999;781;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Income from agriculture greater than 30%;2014;30.5;0.23999999;2480;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Income from agriculture lower than 30%;2014;47.599998;0.33000001;630;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;National;2014;32.799999;0.25999999;3110;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Rural;2016;32.400002;0.23999999;2847;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Urban;2016;62.299999;0.36000001;254;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Only male adults in the household;2016;24.4;0.23999999;110;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Only female adults in the household;2016;45.200001;0.31;438;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Male and female adults in the household;2016;32.200001;0.23;2553;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 1;2016;36.700001;0.25999999;777;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 2;2016;34.700001;0.25999999;671;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 3;2016;31.1;0.23999999;618;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 4;2016;31.9;0.23999999;536;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 5;2016;31.700001;0.27000001;331;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Small holder farms;2016;40.5;0.27000001;2264;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Non-small holder farms;2016;26.6;0.2;735;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Income from agriculture greater than 30%;2016;30.9;0.22;2487;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Income from agriculture lower than 30%;2016;50.299999;0.34;614;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;National;2016;33.599998;0.25;3101;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Rural;2019;33.700001;0.25999999;2182;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Only male adults in the household;2019;31.4;0.25999999;80;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Only female adults in the household;2019;44.900002;0.31999999;284;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Male and female adults in the household;2019;32;0.25;1815;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 1;2019;38.900002;0.28999999;613;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 2;2019;30.200001;0.23999999;523;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 3;2019;34.599998;0.25999999;451;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 4;2019;29.9;0.25999999;334;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Expenditure quintile 5;2019;31.700001;0.23999999;261;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Small holder farms;2019;41.299999;0.28999999;1556;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Non-small holder farms;2019;25.9;0.20999999;575;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Income from agriculture greater than 30%;2019;32.599998;0.25;1945;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;Income from agriculture lower than 30%;2019;46.900002;0.34999999;237;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ethiopia;National;2019;33.700001;0.25999999;2182;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Rural;2013;31.4;0.33;5805;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Urban;2013;42.2;0.37;771;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Only male adults in the household;2013;28.2;0.34;326;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Only female adults in the household;2013;33.7;0.34;761;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Male and female adults in the household;2013;34;0.34;5489;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Expenditure quintile 1;2013;36.9;0.36;1980;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Expenditure quintile 2;2013;35.4;0.34;1547;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Expenditure quintile 3;2013;31.8;0.33;1336;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Expenditure quintile 4;2013;30.5;0.32;1049;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Expenditure quintile 5;2013;31;0.32;664;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Small holder farms;2013;40.4;0.36;4174;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Non-small holder farms;2013;25.7;0.3;2385;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Income from agriculture greater than 30%;2013;22.9;0.28;3191;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Georgia;Income from agriculture lower than 30%;2013;43;0.36;3385;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Rural;2013;34.900002;0.30000001;7817;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Urban;2013;52.599998;0.40000001;2142;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Only male adults in the household;2013;35.700001;0.36000001;923;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Only female adults in the household;2013;53;0.38;1490;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Male and female adults in the household;2013;37.400002;0.33000001;7542;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 1;2013;31.1;0.28999999;3889;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 2;2013;37.200001;0.31999999;2397;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 3;2013;42.700001;0.34999999;1693;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 4;2013;49.400002;0.38;1244;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 5;2013;56.099998;0.41;736;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Small holder farms;2013;49.299999;0.37;6824;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Non-small holder farms;2013;28;0.27000001;3042;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Income from agriculture greater than 30%;2013;33;0.28999999;7342;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Income from agriculture lower than 30%;2013;56.5;0.40000001;2617;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;National;2013;40;0.34999999;9959;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Rural;2017;55.099998;0.33000001;6674;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Urban;2017;66.300003;0.38;1627;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Only male adults in the household;2017;49.099998;0.38;874;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Only female adults in the household;2017;68.300003;0.34999999;1533;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Male and female adults in the household;2017;56.900002;0.33000001;5890;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 1;2017;56.299999;0.31;3947;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 2;2017;58.400002;0.34;1872;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 3;2017;62.700001;0.36000001;1228;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 4;2017;55.599998;0.38;785;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Expenditure quintile 5;2017;61.799999;0.41;469;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Small holder farms;2017;66;0.34999999;5931;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Non-small holder farms;2017;47.799999;0.31999999;2294;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Income from agriculture greater than 30%;2017;55.700001;0.33000001;7390;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;Income from agriculture lower than 30%;2017;74.699997;0.38;911;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Ghana;National;2017;58.299999;0.34999999;8301;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Rural;2011;65.900002;0.31999999;3991;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Urban;2011;66.300003;0.37;994;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Only male adults in the household;2011;56.900002;0.36000001;146;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Only female adults in the household;2011;74.300003;0.33000001;309;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Male and female adults in the household;2011;65.699997;0.33000001;4528;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 1;2011;68.400002;0.31;1630;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 2;2011;67.699997;0.31999999;1353;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 3;2011;65.599998;0.33000001;996;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 4;2011;62.099998;0.34999999;631;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 5;2011;55.400002;0.37;375;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Small holder farms;2011;76.400002;0.31;3711;=;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Non-small holder farms;2011;53.5;0.31;1274;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Income from agriculture greater than 30%;2011;60.900002;0.31999999;2950;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Income from agriculture lower than 30%;2011;74.199997;0.31999999;2035;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;National;2011;66;0.33000001;4985;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Rural;2014;66.199997;0.31999999;3082;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Urban;2014;73.300003;0.33000001;839;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Only male adults in the household;2014;54.299999;0.40000001;112;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Only female adults in the household;2014;68.5;0.34;158;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Male and female adults in the household;2014;68.099998;0.31999999;3651;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 1;2014;72.599998;0.30000001;1336;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 2;2014;68.900002;0.31999999;1042;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 3;2014;65.699997;0.31999999;769;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 4;2014;61.099998;0.36000001;546;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Expenditure quintile 5;2014;48.799999;0.37;228;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Small holder farms;2014;72.300003;0.31999999;3053;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Non-small holder farms;2014;59.900002;0.31;868;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Income from agriculture greater than 30%;2014;63;0.33000001;2334;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;Income from agriculture lower than 30%;2014;75.300003;0.31;1587;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Guatemala;National;2014;67.699997;0.33000001;3921;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Rural;2005;35.700001;0.43000001;14374;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Urban;2005;25.700001;0.38999999;626;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Only male adults in the household;2005;42.900002;0.46000001;154;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Only female adults in the household;2005;48.5;0.47;371;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Male and female adults in the household;2005;35;0.41999999;14475;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 1;2005;45.599998;0.44999999;3536;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 2;2005;37.700001;0.43000001;3033;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 3;2005;32.900002;0.41;3020;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 4;2005;30;0.40000001;2833;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 5;2005;24.4;0.38;2578;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Small holder farms;2005;40.599998;0.44;9999;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Non-small holder farms;2005;31;0.41;4755;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Income from agriculture greater than 30%;2005;31.700001;0.41;11510;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Income from agriculture lower than 30%;2005;48.400002;0.46000001;3490;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;National;2005;35.400002;0.41999999;15000;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Rural;2012;9.6999998;0.13;15518;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Urban;2012;7.6999998;0.13;887;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Only male adults in the household;2012;8.8999996;0.13;171;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Only female adults in the household;2012;11.5;0.15000001;630;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Male and female adults in the household;2012;9.6000004;0.13;15600;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 1;2012;10.7;0.13;3577;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 2;2012;10.7;0.14;3445;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 3;2012;9.6999998;0.13;3487;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 4;2012;8.5;0.12;3105;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Expenditure quintile 5;2012;7.5;0.11;2787;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Small holder farms;2012;10.7;0.14;11329;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Non-small holder farms;2012;8.6000004;0.11;5074;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Income from agriculture greater than 30%;2012;8.6999998;0.11;12391;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;Income from agriculture lower than 30%;2012;12.8;0.16;4014;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;India;National;2012;9.6000004;0.13;16405;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Rural;2007;7.0999999;0.13;2342;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Urban;2007;11;0.2;316;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Only female adults in the household;2007;10.1;0.19;42;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Male and female adults in the household;2007;7.5;0.14;2605;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 1;2007;6.9000001;0.12;949;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 2;2007;7;0.14;578;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 3;2007;7.4000001;0.12;453;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 4;2007;8.8999996;0.15000001;378;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 5;2007;9.8999996;0.18000001;300;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Small holder farms;2007;10.7;0.17;1831;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Non-small holder farms;2007;4.1999998;0.067000002;817;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Income from agriculture greater than 30%;2007;5.0999999;0.082000002;1557;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Income from agriculture lower than 30%;2007;11.8;0.19;1101;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;National;2007;7.5999999;0.14;2658;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Rural;2012;8.3999996;0.15000001;3050;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Urban;2012;15.9;0.23;591;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Only female adults in the household;2012;7.9000001;0.1;40;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Male and female adults in the household;2012;9.6000004;0.17;3590;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 1;2012;6.3000002;0.12;1020;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 2;2012;8.6000004;0.15000001;764;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 3;2012;12.3;0.19;709;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 4;2012;11.7;0.19;615;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Expenditure quintile 5;2012;13;0.2;533;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Small holder farms;2012;12.8;0.2;2635;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Non-small holder farms;2012;5.8000002;0.094999999;921;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Income from agriculture greater than 30%;2012;6.3000002;0.11;1670;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;Income from agriculture lower than 30%;2012;12.3;0.2;1971;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Iraq;National;2012;9.6000004;0.17;3641;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Rural;2005;54.799999;0.34;6598;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Urban;2005;55.799999;0.36000001;994;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Only male adults in the household;2005;49.099998;0.34;418;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Only female adults in the household;2005;61.900002;0.33000001;1218;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Male and female adults in the household;2005;53.700001;0.34;5953;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Expenditure quintile 1;2005;65.400002;0.34;1795;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Expenditure quintile 2;2005;57.599998;0.34;1882;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Expenditure quintile 3;2005;52.299999;0.33000001;1728;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Expenditure quintile 4;2005;46.700001;0.33000001;1342;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Expenditure quintile 5;2005;43.799999;0.33000001;844;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Small holder farms;2005;61.5;0.34;4747;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Non-small holder farms;2005;48.5;0.33000001;2676;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Income from agriculture greater than 30%;2005;53;0.34;5428;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;Income from agriculture lower than 30%;2005;60.5;0.33000001;2164;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kenya;National;2005;54.799999;0.34;7592;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Rural;2013;20.4;0.28999999;1894;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Urban;2013;50.799999;0.40000001;849;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Only male adults in the household;2013;30.799999;0.40000001;44;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Only female adults in the household;2013;36;0.38;284;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Male and female adults in the household;2013;22.4;0.31;2412;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Expenditure quintile 1;2013;19;0.30000001;573;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Expenditure quintile 2;2013;21;0.31;522;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Expenditure quintile 3;2013;20.799999;0.28999999;554;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Expenditure quintile 4;2013;26.1;0.33000001;553;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Expenditure quintile 5;2013;35.700001;0.38;541;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Small holder farms;2013;35.299999;0.38;1954;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Non-small holder farms;2013;9.6999998;0.15000001;744;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Income from agriculture greater than 30%;2013;9.8000002;0.16;1403;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;Income from agriculture lower than 30%;2013;42.700001;0.38;1340;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Kyrgyzstan;National;2013;23.799999;0.31999999;2743;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Rural;2004;60.900002;0.38999999;8661;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Urban;2004;67.599998;0.41;610;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only male adults in the household;2004;69.5;0.38;446;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only female adults in the household;2004;78.900002;0.31;1398;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Male and female adults in the household;2004;57.5;0.40000001;7417;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 1;2004;70.699997;0.37;1951;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 2;2004;64.300003;0.38;1973;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 3;2004;59.5;0.38999999;1960;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 4;2004;55.900002;0.40000001;1872;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 5;2004;54;0.41999999;1515;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Small holder farms;2004;75.199997;0.34;5967;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Non-small holder farms;2004;40.599998;0.38;3301;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture greater than 30%;2004;57.400002;0.38999999;6577;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture lower than 30%;2004;74.099998;0.37;2694;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;National;2004;61.299999;0.40000001;9271;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Rural;2010;52.099998;0.33000001;9254;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Urban;2010;51.5;0.34999999;857;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only male adults in the household;2010;51.700001;0.34;428;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only female adults in the household;2010;60.299999;0.33000001;1695;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Male and female adults in the household;2010;50.200001;0.33000001;7977;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 1;2010;61.700001;0.34;2196;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 2;2010;54.700001;0.34;2255;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 3;2010;50.599998;0.31999999;2166;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 4;2010;46.599998;0.31999999;1987;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Expenditure quintile 5;2010;42.599998;0.31;1507;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Small holder farms;2010;61.400002;0.33000001;6675;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Non-small holder farms;2010;42.299999;0.31;3417;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture greater than 30%;2010;51.900002;0.33000001;8256;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Income from agriculture lower than 30%;2010;52.5;0.34;1855;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;National;2010;52;0.33000001;10111;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Rural;2013;47;0.31;2716;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Urban;2013;44.700001;0.31999999;411;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Malawi;Only male adults in the household;2013;47.400002;0.34;112;;
